Class,Type,Name,Silhouette,Speed,Handling,Model,Manufacturer,Navicomputer/DroidSocket,Crew,Encumbrance,Legality,Passengers,Price,Rarity,Hardpoints,Weapons Count,Index
Starships,Armed Transport,Gozanti-Class Armed Transport,5,2,-3,Gozanti,Gallofree Yards Inc. and Corellian Engineering Corporation,Navicomputer,12,1000,Nonrestricted,12,200000,6,4,7,EotE-CRB: 277 // FC: 58
Starships,Assault Ship,VT-49 Decimator,4,3,-3,VT-49 Decimator,Kuat Drive Yards,Navicomputer,4,60,Nonrestricted,6,160000,6,1,4,FC: 55
Starships,Assault Starfighter,"Alpha-class XG-1 ""Star Wing"" Assault Gunboat",3,4,-2,Alpha-class,Cygnus Spaceworks,Navicomputer,1,8,Restricted,0,135000,7,2,2,FC: 54
Starships,Barge,J-Type Diplomatic Barge,5,4,1,J-Type,Nubia Star Drives,Navicomputer,5,180,Nonrestricted,10,1000000,7,0,0,DA: 62
Starships,Battlecruiser,Maelstrom-class Battle Cruiser,8,1,-3,Maelstrom-classs,Kuat Drive Yards,Navicomputer,45000,12500,Restricted,15000,158000000,8,2,120,LbE: 57
Starships,Bulk Cruiser,Rendili Stardrive Neutron Star-Class Bulk Cruiser,7,1,-3,Neutron Star,Rendili Star Drive,Navicomputer,2200,5000,Nonrestricted,250,2800000,4,6,51,DC: 69
Starships,Bulk Cruiser,Corellian Engineering Corporation Deep Space Recovery Vessel L-2783,5,2,-4,L-2783,Corellian Engineering Corporation,Navicomputer,100,5000,Nonrestricted,100,6500000,6,7,4,SM: 64
Starships,Bulk Freighter,ND-47 Stalwart Bulk Freighter,5,2,-2,Stalwart-class,Nova-Drive,Navicomputer,4,200,Nonrestricted,10,70000,6,2,0,KtP: 62
Starships,Bulk Freighter,ISO-One,5,2,-3,BFF-1 series,Phylon Freight,Navicomputer,15,1000,Nonrestricted,25,150000,4,5,4,BtR: 96
Starships,Carrier,Quasar Fire-class Escort Carrier,6,2,-2,Quasar Fire,SoroSuub Corporation,Navicomputer,250,5000,Nonrestricted,150,1750000,6,4,4,SoT: 61
Starships,Carrier,Ton-Falk-class Escort Carrier,7,2,-3,Ton-Falk,Kuat Drive Yards,Navicomputer,4000,9000,Restricted,800,3500000,7,3,15,SoT: 61
Starships,Carrier,Secutor-class Battlecarrier,8,2,-4,Secutor,Kuat Drive Yards,Navicomputer,40000,28000,Restricted,14000,200000000,7,2,73,SoT: 62
Starships,Corvette,Savrip,5,3,0,Marauder,Republic Sienar Systems,Navicomputer,120,175,Restricted,40,0,5,0,11,MPQ: 83
Starships,Corvette,Blockade Bandit,5,2,-2,CR90,Corellian Engineering Corporation,Navicomputer,40,750,Nonrestricted,50,700000,5,2,6,BtR: 93
Starships,Corvette,CR90 Corvette,5,3,-1,CR90,Corellian Engineering Corporation,Navicomputer,165,2500,Nonrestricted,600,1200000,5,4,6,AoR-CRB: 274 // EotE-CRB: 266 // FaD-CRB: 266
Starships,Corvette,Cybershop Ship,5,3,-2,Modified CR90,Corellian Engineering Corporation,Navicomputer,135,1000,Nonrestricted,220,1300000,7,6,2,SM: 63
Starships,Corvette,CR92A Assassin-Class Corvette,5,3,-1,CR92a,Corellian Engineering Corporation,Navicomputer,150,1000,Restricted,60,2500000,6,2,10,SoF: 113
Starships,Corvette,Marauder-Class Assault Corvette,5,3,0,Marauder,Republic Sienar Systems,Navicomputer,177,175,Restricted,80,3000000,5,1,11,EotE-CRB: 267
Starships,Corvette,Vigil-Class Corvette,5,3,-1,Vigil,Kuat Drive Yards,Navicomputer,200,1800,Restricted,200,3500000,5,0,3,AoR-CRB: 274
Starships,Cruiser,End of Days,7,3,-1,Keldabe,Zann Consortium,Navicomputer,6000,8000,Restricted,1000,200000000,8,4,47,MPQ: 80
Starships,Cruiser,Keldabe-Class Battleship,7,3,-1,Keldabe,Mandal Motors / Zann Consortium,Navicomputer,6000,8000,Restricted,1000,200000000,8,4,47,DC: 69
Starships,Destroyer,ADZ-Class Destroyer,5,2,-2,Adz,Kuat Drive Yards,Navicomputer,30,250,Restricted,8,4450000,7,1,7,FaD-CRB: 266
Starships,Dreadnought,Assertor-class Command Dreadnought,9,2,-4,Assertor-class,Kuat Drive Yards,Navicomputer,125000,145000,Restricted,20000,1100000000,10,3,320,LbE: 56
Starships,Droid Operated,YQ-400 Monitor-Class System Patrol Ship,4,3,0,Monitor-class,The Nerfworks,None,0,0,Nonrestricted,0,200000,8,0,2,FH: 55
